time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend,action_norm,policy_raw
8.2,-0.6129174,1.6892295,0.0400297,-1.0308896,10.0,3,0.9999999,0.0662582,0.0663554
8.25,-0.6421039,-0.5964689,-0.0317814,0.2475933,-138.0,3,0.9999999,-0.9213296,-1.5977532
8.3,-0.6362666,-0.5418264,0.0074129,0.1308851,-94.0,3,0.9999999,-0.6267727,-0.7360829
8.35,-0.6888024,-1.056093,-0.0095344,0.1229907,-143.0,3,0.9999999,-0.9535757,-1.8697958
8.4,-0.7413382,-1.8830249,0.0340994,1.0661572,74.0,3,0.9999999,0.4939998,0.5413376
8.45,-0.7413382,0.9185463,0.0726466,-0.9473462,-39.0,3,0.9999999,-0.2581323,-0.2641063
8.5,-0.6537786,1.3570159,0.0326168,-0.6396987,112.0,3,0.9999999,0.744521,0.9605475
8.55,-0.6421039,1.1462496,-0.0079454,-0.6757188,-128.0,3,0.9999999,-0.8520027,-1.263414
8.6,-0.7179889,-1.1758434,-0.0254251,0.6811494,-23.0,3,0.9999999,-0.1514419,-0.1526158
8.65,-0.7296636,-1.526904,0.0103781,0.8643549,67.0,3,0.9999999,0.4465537,0.4803873
8.700000000000001,-0.7646874,-0.1950421,0.0637511,-0.0829219,101.0,3,0.9999999,0.6737034,0.8174935
8.75,-0.6888024,1.4048973,0.0385472,-1.0021283,-59.0,3,0.9999999,-0.394386,-0.4169834
8.8,-0.7355008,-0.9976438,0.0133432,0.9441619,142.0,3,0.9999999,0.9462095,1.7942701
8.85,-0.7471755,-0.0334326,0.0207562,-0.2994675,-126.0,3,0.9999999,-0.839157,-1.2183167
8.9,-0.6304293,1.5851975,0.0222387,-0.9697708,-80.0,3,0.9999999,-0.5301196,-0.5903115
8.950000000000001,-0.6421039,0.7629217,-0.0095344,-0.5098739,-134.0,3,0.9999999,-0.8901523,-1.4226589
9.0,-0.7179889,-2.0532171,-0.0111235,1.4472498,85.0,3,0.9999999,0.5658045,0.6413301
9.05,-0.7355008,-0.084678,0.0207562,-0.4165174,-142.0,3,0.9999999,-0.9494742,-1.8264158
9.1,-0.776362,-0.8231588,0.0400297,0.2313619,3.0,3,0.9999999,0.023113,0.0231171
9.15,-0.6187547,1.4521269,0.0326168,-0.919966,-11.0,3,0.9999999,-0.0746476,-0.0747867
9.200000000000001,-0.6421039,1.1570622,0.0044477,-0.4461468,43.0,3,0.9999999,0.2875251,0.2958663
9.25,-0.6712904,0.332997,-0.0206579,-0.1997622,-138.0,3,0.9999999,-0.9197453,-1.5873709
9.3,-0.700477,-1.314563,-0.0333705,0.5043968,-135.0,3,0.9999999,-0.8980467,-1.4620331
9.35,-0.6537786,-1.1363725,0.0148258,0.6217752,111.0,3,0.9999999,0.737843,0.9457282
9.4,-0.7063143,-1.6566825,0.0340994,1.0541553,130.0,3,0.9999999,0.8649417,1.3126392
