trial,score,params_json,run_dir,pruned,failed,is_baseline,timestamp
86,152.40075062050542,"{""ent_coef"": 0.010608650654010269, ""learning_rate"": 0.00018035431994873786, ""target_kl_code"": 0}",runs\search_ppo_t0086_20260722_185207,0,0,0,2026-07-22T16:52:47+00:00
87,190.87570865177554,"{""ent_coef"": 0.007983858556235079, ""learning_rate"": 0.0001678826652286494, ""target_kl_code"": 0}",runs\search_ppo_t0087_20260722_185247,0,0,0,2026-07-22T16:53:28+00:00
88,31.946255571288702,"{""ent_coef"": 0.0002196464742467578, ""learning_rate"": 0.00015566379372983487, ""target_kl_code"": 1}",runs\search_ppo_t0088_20260722_185328,0,0,0,2026-07-22T16:54:04+00:00
89,189.6174531683831,"{""ent_coef"": 0.007999309914022966, ""learning_rate"": 0.00016636565985746204, ""target_kl_code"": 0}",runs\search_ppo_t0089_20260722_185404,0,0,0,2026-07-22T16:54:43+00:00
90,190.79418087915224,"{""ent_coef"": 0.0026217381606262456, ""learning_rate"": 0.00014467328371217976, ""target_kl_code"": 3}",runs\search_ppo_t0090_20260722_185443,0,0,0,2026-07-22T16:55:24+00:00
91,45.06632398135998,"{""ent_coef"": 0.010348986104549712, ""learning_rate"": 0.00017194639985347555, ""target_kl_code"": 0}",runs\search_ppo_t0091_20260722_185524,0,0,0,2026-07-22T16:56:00+00:00
92,190.54813503765087,"{""ent_coef"": 0.0133982081286537, ""learning_rate"": 0.00018982462368728254, ""target_kl_code"": 0}",runs\search_ppo_t0092_20260722_185600,0,0,0,2026-07-22T16:56:59+00:00
93,189.96891276087604,"{""ent_coef"": 0.0093957034592367, ""learning_rate"": 0.0002106525367016862, ""target_kl_code"": 0}",runs\search_ppo_t0093_20260722_185700,0,0,0,2026-07-22T16:57:46+00:00
94,163.81019415146943,"{""ent_coef"": 0.0005314388227371389, ""learning_rate"": 0.00017557482154859417, ""target_kl_code"": 0}",runs\search_ppo_t0094_20260722_185746,0,0,0,2026-07-22T16:58:25+00:00
95,190.90745190176202,"{""ent_coef"": 0.0018003903424338137, ""learning_rate"": 0.00016534530845879907, ""target_kl_code"": 0}",runs\search_ppo_t0095_20260722_185826,0,0,0,2026-07-22T16:59:08+00:00
96,152.39452363231808,"{""ent_coef"": 0.001935456692620043, ""learning_rate"": 0.00016752201251578227, ""target_kl_code"": 0}",runs\search_ppo_t0096_20260722_185908,0,0,0,2026-07-22T16:59:48+00:00
97,116.14661248453595,"{""ent_coef"": 0.0011030980200012995, ""learning_rate"": 0.00014727794585039046, ""target_kl_code"": 1}",runs\search_ppo_t0097_20260722_185949,0,0,0,2026-07-22T17:00:26+00:00
98,84.93725883474204,"{""ent_coef"": 0.003427916231345695, ""learning_rate"": 0.00018413183681660692, ""target_kl_code"": 0}",runs\search_ppo_t0098_20260722_190026,0,0,0,2026-07-22T17:01:04+00:00
99,130.91352852049528,"{""ent_coef"": 0.0018029956440840287, ""learning_rate"": 0.0001392275858484191, ""target_kl_code"": 0}",runs\search_ppo_t0099_20260722_190104,0,0,0,2026-07-22T17:01:42+00:00
100,190.83617902993277,"{""ent_coef"": 0.002249490241352091, ""learning_rate"": 0.00016050092394138203, ""target_kl_code"": 1}",runs\search_ppo_t0100_20260722_190142,0,0,0,2026-07-22T17:02:25+00:00
