time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,observer_blend,action_norm,policy_raw
0.87,1.2622477145319018,4.4268351674016655,-2.9662827554580486,22.618661253879658,149.09477441225286,1,0.0,0.9939651627483523,2.9001657962799072
0.875,1.293245833311232,4.918968327423148,-2.8422499689222667,23.27917280663508,149.42253886498,1,0.0,0.9961502590998667,3.1254849433898926
0.88,1.3223275086754385,5.239132184533872,-2.7219783516609217,23.661018931765412,149.6140030699902,1,0.0,0.9974266871332679,3.3272104263305664
0.885,1.3490080846223258,5.383432906610728,-2.6062287816619683,23.759345061891306,149.7161265041367,1,0.0,0.998107510027578,3.4810311794281006
0.89,1.373158858351468,5.371603477302412,-2.495210969563219,23.606987296366153,149.77080294367354,1,0.0,0.9984720196244903,3.5880956649780273
0.895,1.394873102263399,5.23624129443392,-2.3888125938521245,23.256131077212068,149.79829588218544,1,0.0,0.9986553058812363,3.652031660079956
0.9,1.4143587900593055,5.012893166421984,-2.286774268257109,22.762017093463783,149.77356093878998,1,0.0,0.9984904062586,3.59415340423584
0.905,1.4318710197070594,4.733954264611832,-2.188794102949984,22.173429099848622,149.72184096454242,1,0.0,0.9981456064302828,3.491208553314209
0.91,1.4476752301435014,4.42607718084658,-2.094580787065982,21.529080090242697,149.6423140987921,1,0.0,0.9976154273252806,3.365344762802124
0.915,1.4620292330270461,4.109768407457023,-2.003876757955062,20.857475861882143,149.52137970937687,1,0.0,0.9968091980625126,3.2195167541503906
0.92,1.4751757611901,3.800026449770014,-1.9164657212355471,20.178308351957607,149.33718920053667,1,0.0,0.995581261336911,3.0564181804656982
0.925,1.487340395905482,3.5073462454801914,-1.8321727959457812,19.50428309994395,149.05487646654692,1,0.0,0.993699176443646,2.878533363342285
0.93,1.4987319395288106,3.2387414198792372,-1.7508616076361396,18.842858589446273,148.6189819960227,1,0.0,0.990793213306818,2.688173770904541
0.935,1.5095436088564091,2.9986332460758423,-1.672430379739138,18.197703357566784,147.94165150202562,1,0.0,0.9862776766801709,2.487496852874756
0.9400000000000001,1.5199543506835558,2.789558400936811,-1.596807818689185,17.56983891302518,146.93533020746744,1,0.0,0.979568868049783,2.286787271499634
