trial,score,params_json,run_dir,pruned,failed,is_baseline,timestamp
50,-14.760085256514053,"{""exploration_decay"": 285822.89056822687, ""learning_rate"": 0.0001642330398135569, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0050_20260722_183626,0,0,0,2026-07-22T16:37:14+00:00
51,-12.03769247285162,"{""exploration_decay"": 307181.53317893884, ""learning_rate"": 0.00021864174922910134, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0051_20260722_183714,0,0,0,2026-07-22T16:38:02+00:00
52,-12.777082281705844,"{""exploration_decay"": 208148.69947198077, ""learning_rate"": 0.0002536888001965741, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0052_20260722_183803,0,0,0,2026-07-22T16:38:51+00:00
53,-13.61273283696535,"{""exploration_decay"": 229040.1756096736, ""learning_rate"": 0.00013726815562273403, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0053_20260722_183851,0,0,0,2026-07-22T16:39:39+00:00
54,-12.234938922291269,"{""exploration_decay"": 549278.0963923414, ""learning_rate"": 0.00019372972050585915, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0054_20260722_183939,0,0,0,2026-07-22T16:40:27+00:00
55,-11.77745285614105,"{""exploration_decay"": 252516.75462745465, ""learning_rate"": 0.0004588656497809426, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0055_20260722_184027,0,0,0,2026-07-22T16:41:15+00:00
56,-14.882542998878,"{""exploration_decay"": 217722.77131137755, ""learning_rate"": 0.000349379799640434, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0056_20260722_184115,0,0,0,2026-07-22T16:42:04+00:00
57,-14.690510374233746,"{""exploration_decay"": 239511.799969923, ""learning_rate"": 0.00022703293728095077, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0057_20260722_184204,0,0,0,2026-07-22T16:42:52+00:00
58,-14.726229344604752,"{""exploration_decay"": 267519.64766892674, ""learning_rate"": 0.00040827734106330436, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0058_20260722_184252,0,0,0,2026-07-22T16:43:40+00:00
59,-11.736246560656262,"{""exploration_decay"": 369006.07588401565, ""learning_rate"": 0.0005644040846233561, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0059_20260722_184340,0,0,0,2026-07-22T16:44:28+00:00
60,-14.957412713965464,"{""exploration_decay"": 305867.10069089336, ""learning_rate"": 0.00039256250150662307, ""use_double_dqn"": 1}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0060_20260722_184429,0,0,0,2026-07-22T16:45:17+00:00
61,-13.168000547269827,"{""exploration_decay"": 357100.173706036, ""learning_rate"": 0.0005089230951157205, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0061_20260722_184517,0,0,0,2026-07-22T16:46:05+00:00
62,-14.802085640228581,"{""exploration_decay"": 326856.9550749378, ""learning_rate"": 0.0005574032690153469, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0062_20260722_184605,0,0,0,2026-07-22T16:46:53+00:00
63,-12.145272917091567,"{""exploration_decay"": 426356.63756047544, ""learning_rate"": 0.0007889678687871517, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0063_20260722_184653,0,0,0,2026-07-22T16:47:42+00:00
64,-14.982300436019464,"{""exploration_decay"": 368126.3323412314, ""learning_rate"": 0.0004549074809700817, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0064_20260722_184742,0,0,0,2026-07-22T16:48:30+00:00
