episode,global_step,stage_index,stage_name,level,epsilon,reward_total,reward_per_step,length,maintain_max_stable,stable_success,capture,mean_abs_alpha,mean_abs_alpha_dot,mean_abs_pwm
172,344000,1,nominal,0.0,0.19317293606417188,-10441.483391001493,-5.220741695500746,2000,0,0,0,1.615713496338109,9.167137323977608,124.26
173,346000,1,nominal,0.0,0.19134004672800084,-9666.341887308154,-4.833170943654077,2000,0,0,1,1.5702711599173549,9.249082862711434,126.78
174,348000,1,nominal,0.0,0.18952463895498567,-7841.743551616505,-3.9208717758082527,2000,39,0,1,1.4769160148740292,8.449503247744131,120.45
175,350000,1,nominal,0.0,0.1877265460110828,-11235.389991634198,-5.617694995817099,2000,0,0,1,1.6653254569241338,9.310569253920116,119.775
176,352000,1,nominal,0.0,0.1859456027525093,-9119.0899875324,-4.5595449937662,2000,39,0,1,1.5430040665444527,9.183552596134371,123.54
177,354000,1,nominal,0.0,0.18418164561057543,-10099.033803330349,-5.049516901665174,2000,0,0,1,1.5924708802775194,9.071791124184317,125.61
178,356000,1,nominal,0.0,0.1824345125766618,-8939.379522361183,-4.469689761180591,2000,52,0,1,1.525309785885499,8.825715090703554,123.585
179,358000,1,nominal,0.0,0.18070404318733999,-10170.891076136566,-5.085445538068283,2000,15,0,1,1.599369985528838,9.131874195325404,125.115
180,360000,1,nominal,0.0,0.17899007850963478,-10760.203443927263,-5.380101721963632,2000,0,0,1,1.6372784772941904,9.126152736235232,121.665
181,362000,1,nominal,0.0,0.17729246112642733,-12118.899740084826,-6.059449870042413,2000,0,0,0,1.7119000472965333,9.178827980269006,121.11
182,364000,1,nominal,0.0,0.17561103512199727,-10761.239996097214,-5.380619998048608,2000,20,0,1,1.6334154218092585,8.79175668156064,121.725
183,366000,1,nominal,0.0,0.17394564606770285,-9712.907347581531,-4.8564536737907655,2000,50,0,1,1.5793662359688605,8.663582918123499,119.4
184,368000,1,nominal,0.0,0.17229614100779758,-11091.565241896984,-5.545782620948492,2000,16,0,1,1.6469512948194391,8.727303947374349,119.16
185,370000,1,nominal,0.0,0.17066236844538224,-9495.20989316462,-4.74760494658231,2000,66,0,1,1.5605391534786195,8.706127611037306,124.74
186,372000,1,nominal,0.0,0.16904417832849075,-10265.252249941164,-5.1326261249705825,2000,51,0,1,1.604492785201244,8.661779754853386,122.67
187,374000,1,nominal,0.0,0.1674414220363089,-9212.00822751725,-4.606004113758625,2000,43,0,1,1.5419080936852767,8.537297476799333,126.0
188,376000,1,nominal,0.0,0.16585395236552433,-9625.15455697716,-4.812577278488581,2000,50,0,1,1.5632614050014182,8.363169212920877,124.935
189,378000,1,nominal,0.0,0.16428162351680697,-7872.599210967735,-3.936299605483868,2000,51,0,1,1.47211519179841,8.383074833159277,126.15
190,380000,1,nominal,0.0,0.1627242910814181,-8301.971011194757,-4.1509855055973786,2000,41,0,1,1.49743938458941,8.774812155651109,121.89
